//Database Version
@@DATABASE=;VER=1;REV=0;EDIT=18
//Compatibility with the software
@@SOFT=446;VER=1;REV=0
00:2923:00:00:03;0076;02;mm;;2020;13;met/conf/compa/4/lf_height;0;0;1;0;0;
00:2929:00:00:03;0077;02;;;2020;14;met/conf/compa/4/nb_event_pulses;0;0;1;0;0;
00:2920:00:00:04;0078;11;;;2020;15;met/conf/compa/5/flap;0;0;1;0;0;
00:2921:00:00:04;0079;11;;;2020;16;met/conf/compa/5/return;0;0;1;0;0;
00:2922:00:00:04;007A;11;;;2020;17;met/conf/compa/5/overfill_prb;0;0;1;0;0;
00:2923:00:00:04;007B;02;mm;;2020;18;met/conf/compa/5/lf_height;0;0;1;0;0;
00:2929:00:00:04;007C;02;;;2020;19;met/conf/compa/5/nb_event_pulses;0;0;1;0;0;
00:2920:00:00:05;007D;11;;;2020;1A;met/conf/compa/6/flap;0;0;1;0;0;
00:2921:00:00:05;007E;11;;;2020;1B;met/conf/compa/6/return;0;0;1;0;0;
00:2922:00:00:05;007F;11;;;2020;1C;met/conf/compa/6/overfill_prb;0;0;1;0;0;
00:2923:00:00:05;0080;02;mm;;2020;1D;met/conf/compa/6/lf_height;0;0;1;0;0;
00:2929:00:00:05;0081;02;;;2020;1E;met/conf/compa/6/nb_event_pulses;0;0;1;0;0;
00:2920:00:00:06;0082;11;;;2020;1F;met/conf/compa/7/flap;0;0;1;0;0;
00:2921:00:00:06;0083;11;;;2020;20;met/conf/compa/7/return;0;0;1;0;0;
00:2922:00:00:06;0084;11;;;2020;21;met/conf/compa/7/overfill_prb;0;0;1;0;0;
00:2923:00:00:06;0085;02;mm;;2020;22;met/conf/compa/7/lf_height;0;0;1;0;0;
00:2929:00:00:06;0086;02;;;2020;23;met/conf/compa/7/nb_event_pulses;0;0;1;0;0;
00:2920:00:00:07;0087;11;;;2020;24;met/conf/compa/8/flap;0;0;1;0;0;
00:2921:00:00:07;0088;11;;;2020;25;met/conf/compa/8/return;0;0;1;0;0;
00:2922:00:00:07;0089;11;;;2020;26;met/conf/compa/8/overfill_prb;0;0;1;0;0;
00:2923:00:00:07;008A;02;mm;;2020;27;met/conf/compa/8/lf_height;0;0;1;0;0;
00:2929:00:00:07;008B;02;;;2020;28;met/conf/compa/8/nb_event_pulses;0;0;1;0;0;
00:2920:00:00:08;008C;11;;;2020;29;met/conf/compa/9/flap;0;0;1;0;0;
00:2921:00:00:08;008D;11;;;2020;2A;met/conf/compa/9/return;0;0;1;0;0;
00:2922:00:00:08;008E;11;;;2020;2B;met/conf/compa/9/overfill_prb;0;0;1;0;0;
00:2923:00:00:08;008F;02;mm;;2020;2C;met/conf/compa/9/lf_height;0;0;1;0;0;
00:2929:00:00:08;0090;02;;;2020;2D;met/conf/compa/9/nb_event_pulses;0;0;1;0;0;
00:2924:00:00:00;0091;02;mm;;2020;2E;met/conf/end_height;0;0;1;0;0;
00:2925:00:00:00;0092;02;;;2020;2F;met/conf/hyster_lf_hf;0;0;1;0;0;
00:2926:00:00:00;0093;02;;;2020;30;met/conf/hyster_end_lf;0;0;1;0;0;
00:2924:01:00:00;0094;02;mm;;2020;31;met/conf/end_height2;0;0;1;0;0;
00:2925:01:00:00;0095;02;;;2020;32;met/conf/hyster_lf_hf2;0;0;1;0;0;
00:2926:01:00:00;0096;02;;;2020;33;met/conf/hyster_end_lf2;0;0;1;0;0;
00:292A:00:00:00;0097;02;;;2020;34;met/conf/compa/1/em;0;0;1;0;0;
00:292A:00:00:01;0098;02;;;2020;35;met/conf/compa/2/em;0;0;1;0;0;
00:292A:00:00:02;0099;02;;;2020;36;met/conf/compa/3/em;0;0;1;0;0;
00:292A:00:00:03;009A;02;;;2020;37;met/conf/compa/4/em;0;0;1;0;0;
00:292A:00:00:04;009B;02;;;2020;38;met/conf/compa/5/em;0;0;1;0;0;
