//Database Version
@@DATABASE=;VER=1;REV=0;EDIT=20
//Compatibility with the software
@@SOFT=446;VER=1;REV=3
00:0001:00:00:00;0000;01;;Version Metro;2000;01;;0;0;0;0;3;
00:0002:00:00:00;0001;01;;Rev Metro;2000;02;;0;0;0;0;0;
00:0003:00:00:00;0002;01;;Edit Metro;2000;03;;0;0;0;0;3;
00:0004:00:00:00;0003;88;;Conf Metro;2000;04;;0;0;0;0;0;
00:0010:00:00:00;0007;42;;ID Apps;2000;06;;0;0;0;0;449;
00:0011:00:00:00;0008;01;;Version Apps;2000;07;;0;0;0;0;1;
00:0012:00:00:00;0009;01;;Rev Apps;2000;08;;0;0;0;0;0;
00:0013:00:00:00;000A;01;;Edit Apps;2000;09;;0;0;0;0;0;
00:0014:00:00:00;000B;88;;Conf Apps;2000;0A;;0;0;0;0;0;
00:8000:00:00:00;000F;04;;Meter number;2000;0C;;0;0;0;0;0;
00:8001:00:00:00;0011;02;;Salve ID;2000;0D;;0;0;0;0;0;
00:8003:00:00:00;0012;82;;Ref Letters;2000;0E;;0;0;0;0;;
00:291B:01:00:00;0013;04;;Manchette;2000;0F;;0;0;0;0;0;
00:8005:00:00:00;0015;04;;Measurer number;2000;10;;0;0;0;0;1;
00:8011:00:00:00;0017;02;%;Class;2000;11;;0;0;0;0;0,5;
00:291B:00:00:00;0018;04;;Manchette;2000;12;;0;0;0;0;0;
00:2D00:00:00:00;001A;02;;ProdViewA;2000;13;;0;0;0;0;0;
00:2D00:01:00:00;001B;02;;ProdViewB;2000;14;;0;0;0;0;0;
00:2900:00:00:00;0032;02;;;2010;01;;0;0;0;0;0;
00:2901:00:00:00;0033;11;;;2010;02;;0;0;0;0;0;
00:2901:00:00:01;0034;11;;;2010;03;;0;0;0;0;1;
00:2940:00:00:00;0035;11;;;2010;04;;0;0;0;0;0;
00:2940:01:00:01;0036;11;;;2010;05;;0;0;0;0;0;
00:2910:00:00:00;0037;11;;;2010;06;;0;0;0;0;1;
00:2911:00:00:00;0038;11;;;2010;07;;0;0;0;0;0;
00:2912:00:00:00;0039;11;;;2010;08;;0;0;0;0;0;
00:2913:00:00:00;003A;11;;;2010;09;;0;0;0;0;0;
00:2941:00:00:00;003B;11;;;2010;0A;;0;0;0;0;1;
00:2918:00:00:00;003C;64;s;;2010;0B;;0;0;0;0;1;
00:2901:01:00:00;003E;11;;;2010;0C;;0;0;0;0;0;
00:2901:01:00:01;003F;11;;;2010;0D;;0;0;0;0;1;
00:2910:01:00:00;0040;11;;;2010;0E;;0;0;0;0;1;
00:2900:01:00:00;0041;02;;;2010;0F;;0;0;0;0;1;
00:2903:00:00:00;0042;11;;;2010;10;;0;0;0;0;1;
00:2903:01:00:00;0043;11;;;2010;11;;0;0;0;0;1;
00:2904:00:00:00;0044;02;;;2010;12;;0;0;0;0;1;
00:6006:00:00:00;0045;02;;;2010;13;;0;0;0;0;0;
